,mobile_name,mrp,deal_price,user_review,light_weight_rating,value_for_money_rating,battery_life_rating
10,Huawei P20 Pro,69999,54999,Huawei p20 pro.. Best Camera phone  (Leica tripple camera setup),4.5,4.5,4.4
11,Huawei Nova 3i,23999,17990,Phone with awesome features in great price,4.1,3.9,3.8
12,Huawei P20 Lite,22999,15999,"Plus points : Very good build, comfortable handling, good camera

Minus points: Worst battery i charge it full in the morning and it get discharged by evening even before returning from office.

Cost: Pricing could be at least 2-3k lesser",4.2,3.9,3.7
13,Lava Z61,7500,6750,"Phone is good
Touch is good
Camera is good
Battery almost good",4.6,3.8,3.5
14,Moto E5 Plus,12999,9999,"Just last night got a software update and the Phone does NOT Switch on, even after following the Motorola Service Technician's suggestions",4.2,3.6,3.5
15,Honor 8X,17999,14999,"16.51cm FHD+ Display 
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            With its nearly borderless design, Honor 8X retains the size of a 5.5inch phone, which makes it easier to grip. The 19.5:9 aspect ratio and enhanced visual quality offers more details and a better cinematic experience.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        FullView Display with Nearly Borderless Design
    

                        












     
    
      
 


    
    
        
    






    
    
        
            The Honor 8X features a gorgeous 16.51cm FHD+ Borderless FullView Notch Display with advanced chip-on-film (COF) technology and special antenna design.
        
    

    
    
        
            Featuring an incredible 91% screen-to-body ratio and sleek 4.25mm wide bottom bezel, the display occupies nearly the entire front of the phone.
        
    

    
    
        
            *The measured value is from Honor Research Institute.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Glass Body with Visual Grating Effect
    

                        












     
    
      
 


    
    
        
    






    
    
        
            The glass body design features a second-generation anti-glare film, with two visual effects and 15 layers of rich reflective craftsmanship on the same glass back.
        
    

    
    
        
            On the left border: complex intertwined and grained texture.
        
    

    
    
        
            On the right border: classic, unique pattern effect of Honor flagship phones.",,,
16,Samsung Galaxy A8+,41900,23990,Not good reviews,4.2,4.2,4.0
17,Redmi 6 Pro,11499,10999,"Never seen so worse product from xiaomi ever..... Screen is worst, functioning is not at all good, finger print sensor is very slow, heating too much. Returned the product within 4th day
Thanx Amazon for helping to return the product and providing refund 2nd day only....",4.3,4.1,3.9
18,Moto E5 Plus,12999,9999,"Microphone stopped working within 15 days, also customer care is not ready to replace the product.",4.2,3.6,3.5
19,Huawei P20 Lite,22999,15999,"Firstly the phone feels great in your hand.The Huawei P20 Lite is a sign of good things to come from Huawei. The company ignored the Indian market for the past few years, but returned with a bang with its two camera-centric offerings. It’s a phone meant for taking good photos, but when it comes to performance,  it lags at some places like gaming..
Pros-
Bright display,  well tuned camera,  metallic body,  slim design,  premium look
Cons-
Battery needs improvement
Lower logo should be done away with to give more premium look
It takes stunning photos in all lightning conditions.. Nd feels premium holding in your hand",4.2,3.9,3.7
20,LG Q7,17000,15990,"Slow phone,poor camera,lagging,late finger print response.",,,
21,Moto G6,17999,13999,Overall functioning of thid phone is nice but... Screen is very weak like it is a fake gorilla glass my mob fall from window 1-2  feet height and mob screen cracked 😠😠😠... Really very disappointed.,3.9,3.9,3.7
22,Huawei Nova 3i,23999,17990,"I’ve bought this phone 10days back, Now the camera is not launching quickly and device is not capable of doing multitasking. I’m disappointed by this phones performance. I was expecting at least a mid range performance but its not up to the mark. But battery life is good. I’m waiting for update from huawei to stablize the phones performance.",4.1,3.9,3.8
23,LG V30+,60000,29990,Mobile is good......surely can go for it.........,4.4,4.4,4.1
24,Huawei Nova 3i,23999,17990,"Phone has some good features at the price point. Camera during the daylight produces some great pictures. It struggles a bit in the artificial lighting indoors. That's the only drawback I've noticed.

Quality of the speaker is just not good. At this price range they could have given a better in built speaker. (Well that's not a deal breaker though)

Battery took me by a surprise. It sustained more than a day for me on continuous use of 4g and WiFi.. good job on the battery though.. credit goes to the processor which is power efficient..",4.1,3.9,3.8
25,Moto G6,17999,13999,"The phone is pathetic and fragile and the service by Amazon is even more pathetic. Two months after the purchase, the phone stops charging. I took it to the service centre they said it is not covered under warranty pay 13k for repairing. I called Amazon for assistance. The person was so unwilling to help. Never had such a bad experience. Would think twice next time before ordering anything from Amazon.",3.9,3.9,3.7
26,Moto G6,17999,13999,Awesome phone,3.9,3.9,3.7
27,Intex Indie,8999,4799,good display phne.,3.3,3.2,2.8
28,Blackberry Evolve,47990,42990,"BlackBerry KEY2 (Black, 6GB RAM + 64GB Memory)

Very very disappointed with this product. Please don't buy it, its not worth it. It's been a month since am using this phone, the problem am facing is after using continuesly for 15/20mins it hangs and then restarts itself, even while writing this review it got restarted twice,  very very frustrated,  today while at bank was doing some work phone got hanged and restarted and all the work was gone had to restart it again, earlier I thought might be software issue so I factory reset it again but the problem remains the same . Please don't buy this phone at any cost, it's not worth it.  all the faith I had in them died with this purchase.

Amazon/BlackBerry if you are listening then kindly resolve this problem as 42K is not a small amount for a defective piece of hardware and remaining silent is also unfair.",4.4,4.3,3.8
29,Moto E5 Plus,12999,9999,I've been using this mobile for more than a month now. It is very handy. I love big phones with good camera and this phone really suits my need. The storage capacity and the power of the battery makes it a best phone than the ones I've been using before.,4.2,3.6,3.5
30,10.or D2,7999,4999,"Great product, value for money.",3.6,3.2,2.7
31,Samsung Galaxy On7 Prime,12990,9990,"If you are looking for any brand, then in this budget phone is quite good.

Batterry life - *****
Camera - ****
Performance - ****
Looks - *****

Only negative point is missing of basic sensors.",3.9,3.7,3.7
32,Lava Z61,7500,6750,"Sharp Click Camera
    

                        












     
    
      
 


    
    
        
    






    
    
        
            The 8MP rear and 5MP front camera with sharp click enables you to take pictures in detail with sharpness and clarity. In addition to that, face beauty and real-time bokeh effect lets you enhance your pictures.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Full Screen 18:9 Display
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Whether watching a video, listening to music or playing a video game, you get stunning visual experience with vibrant 5.45 inch HD display. Full lamination IPS technology provides better colour reproduction and wider viewing angles.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Elegant Design
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Slim, lightweight and stylish design with 2.5D glass curved corning gorilla glass protection with 5-point touch enhances your gaming experience and feels comfortable for easy one-hand operation.",4.6,3.8,3.5
33,LG V30+,60000,29990,All round good phone no complaints working perfectly without lag even after 6 months.. pretty impressive. One needs to ignore lg bloatware a bit but it's not a lot like samsung. Screen is pOLED so a little plasticky with a blue tinge when viewed at an angle but otherwise a great experience for eyes with awesome resolution.,4.4,4.4,4.1
34,Moto G6 Plus,23999,22499,"Smart Dual Camera
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Click more with a 12+5 MP smart dual rear camera enabled with cool creative modes such as spot colour, selective black and white, portrait mode and more. With smart Google Lens, explore more of the world. Identify objects and landmarks around you, scan text documents, read QR codes and barcodes, discover more movies, music and books.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Powerful Front Camera
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Get flawless low light selfies with the 16 MP front camera which allows up to 300% more light in. Just look at your phone to unlock it. It knows who you are thanks to face recognition software. With the convenient group selfie mode, click your entire gang in one picture.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
           Serious Performance
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Multitask with blazing fast speed like a pro and don’t wait for the good stuff, thanks to the 6 GB RAM. Run multiple apps without slowing down with the Qualcomm Snapdragon 2.2 GHz octa-core processor. And when it’s time to charge your phone, get hours of power in just minutes with Turbopower charge.",4.7,4.5,4.3
35,Huawei Nova 3,39999,29999,Pathetic and useless product.,4.3,4.2,3.9
36,Huawei P20 Lite,22999,15999,"First off all i got it for 16240,for that price its best choice,not worth for 20k
User review after 1.5 mnth usage..
This is my first reviw
Pros:-
Awesome display
Notch really gud
EMUI going good
Decent battery life
Gud design
Meet all day needs
Perfect camera,aperture mode is perfect
Front 24mp doing gud
Face and fingerprint unlock is fast
Glass desing is good
Handy design and pocket frendly
Calling clarity is gud
Usb type c is rly great
Fast charging is great
Back edge detection is gud
Not get hanged in this 1.5 mnth usage
Hisute by huweai in pc is great
Sar value is low(radiation)
Huweai phone manager is doing gud

Cons:-
Processer slightly dissapointed
Mali graphics is satisfactory only
Sound clarity and loudness is ok
Huweai earphone provided with pack is really disappointed
For 2k huweai  should give kirin 759
Didnt get gpu turbo update even after 1.5 mnth usage
Portrait seems to be over blured,it can be compensated with aperture mode
Font Edge detection is ok
 gorilla glass is not there
In pack they didnt provide any back pouch or screen guard
If u are high end gamer go for adreno graphics",4.2,3.9,3.7
37,Samsung Galaxy On7 Prime,12990,9990,Hitting problem this phone,3.9,3.7,3.7
38,Samsung Galaxy A8+,41900,23990,Excellent phone.....loved it,4.2,4.2,4.0
39,HTC Desire 12,15900,9990,Worst product and waste of money... My phone is bend now automatically.. I totally fed up about htc. I purchased this device last month at rs 15.5k but now the price drops 12.5k so I fooled 3000 rs but it's OK but my phone is bend now not interested to use.. Please consider to replace bcoz return window is closed. Here after I do not purchase any thing thru online like amazon,,,
40,Honor 7c,12999,8499,"I got the phone on offer for Rs.7700
For that money it is an excellent device.
Camera is of average quality.
Display is GOOD not full HD+, so there will be no better feel in playing 1080 p videos.
Battery is above average. It is pretty good for gaming. It lasts well while playing PUBG, PES, Asphalt legends, etc. I play these games often.
Sound quality is average.
Overall a good phone for its price range.",3.8,3.8,3.7
41,InFocus Vision 3,7999,6999,"View larger
            
        
    

        

        
            















     
 
     
    

    


    
    
        
    






    
        Pure Viewing Pleasure Combined with Utmost Comfort
    

            












     
    
      
 


    
    
        
    






    
    
        
            Get captivated by what you view on the 5.7-inch HD+ Full Vision Display of InFocus Vision 3 while you feel the ease and comfort of holding a 5.2-inch screen phone.
        
    

    
    
        
            Enjoy long hours of pure viewing pleasure on the 18:9 screen with crisp colours and clarity of the stunning full vision display. The slim bezels and an incredible 82.4 % screen aspect ratio. Make for a perfect multimedia device. 
        
    

    
    
        
            The 2.5 D curved glass screen ensures fingerprint tracks and a sturdy screen.",3.8,3.5,3.5
42,Intex Indie,8999,4799,"Indie   15
    

                        












     
    
      
 


    
    
        
    






    
    
        
            High on speed big on space.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Step up the Game
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Redefine the way you get entertained with this Smartphone. Its 13.2 cm (5.2   inch). 
HD IPS display gives you enhanced picture quality.
Now experience a movie or gaming session like never before.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Take the Fastest Route
    

                        












     
    
      
 


    
    
        
    






    
    
        
            The 1.3 GHz quad-core processor of this smartphone makes multi-tasking a   child’s play. Its 2 GB RAM and 16 GB ROM* with 4G volte helps you to keep   hold of your precious memories forever.
The massive 2800 mAh battery ensures that you enjoy long hours of movie,   chatting and gaming with ease. 
Experience this little technological wonder yourself.",3.3,3.2,2.8
43,Honor 8X,17999,14999,"20MP AI Dual Camera* Capturing More Than You Can Imagine 
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Weave your tales with 20MP+2MP AI Dual Camera that gives you a perfect output in every scenario, with every object.
        
    

    
    
        
            The AI Multi-Scene Recognition of the camera can identify 22 different categories of objects in photos and 500+ different scenarios in real-time.
        
    

    
    
        
            Capture every moment in great details. The AI Dual-Camera can take pictures at resolutions up to 20MP.
        
    

    
    
        
            With AI Beauty Effect, you can adjust and retouch photos based on area segmentation.
        
    

    
    
        
            *20MP+2MP AI Dual Camera
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        16MP Front Camera, Enabling High Quality Selfies
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            With an enhanced ISO, 4-in-1 Light Fusion Support and multi-frame image processing features, capture quality and beautified selfies with Bokeh Effect.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Super Slow-motion, Capturing Instantaneous Motions
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Create stunning slow-motion videos, shoot at 480fps with 16x Slow-Motion Mode. Automatic and manual modes are available.",,,
44,Honor 7c,12999,8499,Could have been more better display and battery life,3.8,3.8,3.7
45,Nokia 6.1,20095,14999,"Pros:
• Amazing looks and build with full aluminium casing although that makes it slippery at times
• Display is good
• You will get all latest updates for Android

Cons:
• Battery had to better as it lasts hardly a full day with average 4G usage
• Gets heated at times either with certain apps running and during charging
• Camera output not really what is claimed",3.7,3.6,3.4
46,10.or D2,7999,4999,Product is nice but Got faulty charger and amazon give charger amount after purchase charger from amazon..,3.6,3.2,2.7
47,Huawei P20 Pro,69999,54999,Just go for it,4.5,4.5,4.4
48,Redmi 6 Pro,11499,10999,Good mobile over all with excellent battery back up decent camera but front camera is little disappointing cant see oreo notification dots need to improve MIUI,4.3,4.1,3.9
49,Intex Indie,8999,4799,"#IntexIndie15 SmartPhone Features Specifications is SoSuper
But Phone Heating Normally UseingTime  BatteryDownProblem Also WhyAmazon??",3.3,3.2,2.8
50,Honor 7c,12999,8499,"Honor 7c a mobile which could be more close to you with its awesome specification.

Picture quality: Rear camera is good with its specs. Wide aperture is better. Only thing it fails is in night mode shoot. Front camera is decent enough with a toning light.

Sound quality: It is relatively good when compared with same category mobiles.

Battery life : A single charge could stand for 19hrs even when you use Internet and games.

Improvement requires is in rear camera photo modes. Very few camera mode options is a very lacking feature.",3.8,3.8,3.7
51,Lava Z61,7500,6750,In this range its overall quite satisfactory sturdy phone.,4.6,3.8,3.5
52,Intex Indie,8999,4799,Worst quality...Mother board failed within 25 days... piece replacement denied both by Amazon ..and dealer... Manufacturer not reachable...pl don't get cheated,3.3,3.2,2.8
53,Intex Indie,8999,4799,good,3.3,3.2,2.8
54,Samsung Galaxy A8+,41900,23990,"All-around phone
Great battery backup
Fast charging
Fully display
Great 👌🏻body finishing",4.2,4.2,4.0
55,Moto G6,17999,13999,"Looks classic but battery drains fast doesn't last for 24hr even it is fully charged. Charging is quick, charges full within 90 minutes. Phone lags while playing games, not a good choice for gaming.",3.9,3.9,3.7
56,InFocus Vision 3,7999,6999,"Its a nice product & best in this range with full view display & dual camera setup. But its interface & build quality is not so good, Rear camera glass is broken with in 3 months. Body is nice  & effective handling",3.8,3.5,3.5
57,Huawei Nova 3,39999,29999,"Design 10/10
Camera 9/10 if you don't use AI, IF u use AI then picture looks artificial
Battery 7/10
Display 9/10
Speed 10/10
Sound 8/10
EMUI 10/10 personal choice
Value for money 8/10 as I got this at 27500 on Big Billion day",4.3,4.2,3.9
58,Redmi Y2,13499,10999,Good product,4.2,4.2,4.0
59,Huawei P20 Pro,69999,54999,"The phone over all is best
Best picture quality with lecia triple lens camera
Dolby atoms audio quality is best
The facial recognition unlock is a perfect and faster than IPhone 10
I would definitely recommend this phone",4.5,4.5,4.4
60,Blackberry Evolve,47990,42990,Satisfactory performance and features. A bit overpriced for what it is offering.,4.4,4.3,3.8
61,Samsung Galaxy On7 Prime,12990,9990,after 2 month this device is get dead its burn inside. burn its motherboard.,3.9,3.7,3.7
62,Huawei Nova 3,39999,29999,"Firstly I'd like to praise Amazon for bringing so many sweets deals to us. I'm glad that I purchased this for my wife as her bday gift. She liked it to the core.

This phone ticks all the right boxes from display to battery. Solid performance, elegant styling and excellent camera features. Only 1 con. Although this is protected my 2.5D glass screen, it should have been given gorilla glass 5 protection considering it's offering flagship specs. Nonetheless it's a mind blowing product. You should totally go for it, if you are looking for options beside one plus 6.",4.3,4.2,3.9
63,LG V30+,60000,29990,"Had my eyes on this phone from a long time and with amazin exchange offer, the price came down significantly.

The SD 835 processor is very quick and responsive with good ram management. The best part that I liked about this phone is the POLED screen! Oh man this is a mindblowing oled panel to look at. One drawback with the phone is the front facing camera. LG just cheaped out on the front cam with just 5MP and is just satisfactory. As a sigh of relief, the dual cameras at the back are at another level. The pictures using the back cameras are sure clean and crisp.

Very happy with the purchase and will recommend it to anyone who is planning to buy this phone in late 2018(if the final price falls under 25k after discount and exchange)

Hope this review was helpful. Good day folks.",4.4,4.4,4.1
64,10.or D2,7999,4999,"Not happy with the phone and tried to return it but Amazon not seem to take mobile phones back even if it is unused.
I have purchased 10.or E in January sale and I'm more than satisfied with the quality.

So I went for D2 thinking that this is the better version with new update n features....
But I'm very much disappointed...as it has very less features compare to earlier version, which is available at lesser price than this- with3gb RAMn 32gbinternal storage and also fingerprint sensor.
I don't know what for they have come with new series....is it to fool the customers and grab money from them....
Feel cheated.... Amazon should look into the pricing part...
The camera is Average, no finger print sensor.",3.6,3.2,2.7
65,Moto G6 Plus,23999,22499,Functions perfectly,4.7,4.5,4.3
66,Honor View 10,35999,24999,"This is an amazing purchase.I really love the discount amazon gave that no one can give view 10 such price.
Phone is extremely fast fluid.
I thought shipment will br delayed because my place was under the attack of flood . But i got my phone early than i expecte.  Talking about phone
  Emui custom ui is very good compared to android one and miui becoz i used both ui once
  Kirin 970 is flagship processor anything will run smoothly
  Compared to cheap plastic back of pocophone it has metal back gives u premium hold
  EIS update is available
  Excellent battery backup
  Nice display

Thank you amazon",4.4,4.3,4.1
67,Samsung Galaxy A8+,41900,23990,"View larger
            
        
    

                        
                    
                
                
                    
                        
                            










 
 
 
 


    
    
        
    



    




    
        
    
    


    



    
        
            
        
    
    


                            

                            








    
    
        
    





    
        
            
                View larger
            
        
    

                        
                    
                
                
                    
                        
                            










 
 
 
 


    
    
        
    



    




    
    
        
    


    



    
    
        
    


                            

                            








    
    
        
    





    

                        
                    
                
            
            
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Samsung Galaxy A8+
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Galaxy A8+ comes with water resistant IP68, samoled, 18.5:9 infinity display, dual front camera (16MP + 8MP, F1.9) with live focus and more.
        
    

    
    

    
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Design - Be at your Stylish
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Resplendent in metal and glass, it’s thoughtfully designed to fit comfortably in your hands. A work of art, you won’t want to put down.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Infinity Display - Expand your View
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Lose yourself to an expansive view on the Galaxy A8+ with the infinity display. Its 15.36 cm (6.0”) large display and 18.5: 9 screen ratio makes any view, simply captivating.",4.2,4.2,4.0
68,Lava Z61,7500,6750,Very bad product by lava battery life is very poor and front speaker sounds very bad,4.6,3.8,3.5
69,Honor View 10,35999,24999,Very nice mobile.. Till now there is no any issues.. And battery is getting charged quick and it's will come one full day.. Honor mobile is good quality mobile... This is the second honor mobile I purchased and no any issues,4.4,4.3,4.1
70,10.or G,29990,24990,Super,,,
71,InFocus Vision 3,7999,6999,"For rs7000 having feautres like 4000mah battery, face unlock, fhd+ display, dual camera,  finger print scanner makes this mobile more smarter when compare to other mobiles at this price range. Since everything is good and some lag with memory 16gb internal but we can extend memory by sd card.
No heating issue found.
Vediou display is amazing.
Sound is good.
System and CPU is good .
Fast response.
4g volte.
Battery life is good.
Build quality is good.
Very smarty look.
Power button and volume button should be improved a little bit.(small in size)
Overall face unlock is ok in speed.
Finger print works fast.
Decent camera at daylight.( Night you may disappointed)
For 7000rs if you want to buy then there is no hesitation to take it.",3.8,3.5,3.5
72,LG Q7,17000,15990,"Shouldn't have come with 2.5d glass for good protection. That's ok but camera quality is just average, should have come with dual camera or portrait mode for rear camera",,,
73,Huawei P20 Pro,69999,54999,"Using it for 2 days, my initial thoughts are-
Pros-
Good design and build quality, feels premium.
Display is nice.
Very fast fingerprint sensor.
Rear camera is excellent in low light, in daylight the photos seems to little over exposed.
Sound quality via speaker is good, not great.
Battery life is nice.
Cons-
Phone is not as fast as Oneplus 6, simply don't like the UI, missing so many features which even a 15k phones have.
Front camera is very poor.
Sound quality via supplied headset is not that good.",4.5,4.5,4.4
74,Lava Z61,7500,6750,Like it....but it has over heating problem,4.6,3.8,3.5
75,Nokia 6.1,20095,14999,"All good about the Nokia 6.1. (I purchased 2 Nokia 6.1)
Except the touchscreen moment with the fingers looks like slippery ( could be I feeling this ... as I’m using IPhone 6 for past 3+ years), my souse didn’t complain anything such and I too didn’t ask her about about the same.",3.7,3.6,3.4
76,Moto G6 Plus,23999,22499,Can't say much. Clearly doesn't rip you off if u get this for free. *Coughs: overpriced*,4.7,4.5,4.3
77,Honor 8X,17999,14999,"Kirin 710 Powerful Chipset
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Breeze through multitasking without slowing your phone with the Kirin 710 Chipset.
The powerful chipset features a 12nm Cortex-A73 generation-based SoC with a 75% increase in CPU single core performance and a Mali G51 GPU with a 130% increase in GPU performance.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        GPU Turbo: High Performance Graphics Processing Efficiency
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Be game for any challenge with a 60% increase in graphics performance and 30% decrease in power consumption.
The GPU Turbo boosts efficiency in graphics processing with full FPS and FPS stability for gaming, while still reducing power consumption.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Upto 528GB Storage*
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Carry more videos, more photos, more music, and more of everything you love on your phone. Store more than you can imagine, with up to 128GB ROM and a dedicated memory card slot that supports up to 400GB.
        
    

    
    
        
            Enjoy unlimited storage capacity on Honor 8X which comes with 128GB of Internal memory and supports on expandable mIcroSD card up to 400GB. The three cord slots )two SIMs and one MIcroSD cord) enables you to manage your calls and data with no hassles.
        
    

    
    
        
            * 128GB ROM+400GB microSD.",,,
78,Huawei Nova 3,39999,29999,Waste,4.3,4.2,3.9
79,Lava Z61,7500,6750,"Product is good, light weight, speed high.over all worth of buying this product.",4.6,3.8,3.5
80,Intex Indie,8999,4799,"Add   Life to your Pictures
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Rediscover the beautiful moments of your life with the   13 MP AF rear and 5 MP FF selfie cameras of this smartphone. 
Both rear and front cameras comes with a flash, giving you an exquisite   picture quality.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Find   the Signature Style for Yourself
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Make yourself the center of attraction as you will   speak the new language of style with this sleek and elegant smartphone.
        
    

    
    
        
            This smart device comes in three attractive colors - black, blue and  champagne that will redefine your style.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Best   of the Auto-Correct with Swiftkey
    

                        












     
    
      
 


    
    
        
    






    
    
        
            SwiftKey keyboard revamps the way you text.
This amazing app features 180 languages to choose from, auto-correct and   sentence suggestions, interactive suggestions with customizable look.",3.3,3.2,2.8
81,Intex Indie,8999,4799,"WE WROTE MANY TIMES FOR RETURN PRODUCT BUT PICKUP NOT DONE TILL NOW.
PRODUCT IS VERY BED CHARGING PROBLUM .MOBILE NOT CHARGING COMPLETELY IN 36 HOURS ALSO.
WE STOP NEXT EMI BY OUR BANK SHOWING RETURN REQUEST .
ARRENGE URGENT PICKUP.",3.3,3.2,2.8
82,10.or G,29990,24990,PAST 18 YEARS USING BB ALL MODEL WAS REALLY BEST ONE,,,
83,10.or G,29990,24990,Blackberry is BlackBerry... spb product ... Brand is brand I love BlackBerry.....,,,
84,Intex Indie,8999,4799,good range mobile,3.3,3.2,2.8
85,LG Q7,17000,15990,"Best mobile for those who dont want bulky big size mobile, its fits in your pocket with all latest functionality.great configuration in 16k LG should have given 4GB 64GB variant. then it will be as good as nokia 6.1 plus.",,,
86,Honor 7c,12999,8499,"Honor 7c is perfect for medium budget family and for whom who does not want much form that. Its disply is quite medium not full hd, camera is not so good, in the camera scene mode not present , battery is very good, sound is very good, its handy,",3.8,3.8,3.7
87,Moto G6,17999,13999,"Mobile is working fine. But after one week I noticed mobile is not charging and went to mobile shop and got cheked the Moto turbo charger and they said cable is not working, it's gone. I didn't expect this bad charger from Moto company. I have raised complaint to Amazon customer service to replace mobile charger they responded intially and they told they will call me back. But none of them called. I didn't expect bad service from Amazon.",3.9,3.9,3.7
